101332-17	Klebsiella variicola	strong	41	339509	473721	ST1708-2LV	0	0	0	0	-	0	-	0	-	0	-	0	-	-	0	KL107	?-+*	None	86.68%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd	O3/O3a	none	Very high	99.26%		ST1708-2LV	16	24	21	27	50	60	207	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
105710-17	Klebsiella variicola	strong	243	46536	215410	ST1903-2LV	0	0	0	0	-	0	-	0	-	0	-	0	-	-	0	KL50	?-*	None	84.37%	KL50_05_wbaZ,KL50_06_wbaP,KL50_07_wcuU,KL50_08_wcuH,KL50_09_wzx,KL50_10	O3/O3a	?-	None	99.44%	O3/O3a_01_manC,O3/O3a_02_manB	ST1903-2LV	16*	24	-	27	47	17	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
109680-17	Klebsiella michiganensis	strong	149	164599	514996	0	0	0	1	1	-	0	-	0	-	0	-	0	-	-	0	KL102	?-+*	None	89.99%	KL102_02_cpsACP,KL102_13,KL102_14,KL102_15_wzx	O2v1	?-+*	Low	73.21%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	-	-	-	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY1-3	-	-	-	-	-
118559-17	Klebsiella pneumoniae	strong	85	196853	455588	ST37	0	0	1	1	-	0	-	0	-	0	-	0	-	-	wzi123	KL107	?-+	None	83.95%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O2v2	?-	Good	98.49%	O1/O2v2_08_gmlC	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-77*	-
124203-17	Klebsiella pneumoniae	strong	181	94179	241624	ST1520-1LV	0	0	0	0	-	0	-	0	-	0	-	0	-	-	wzi22	KL107	?-+*	None	89.59%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	O2v1	?-	Good	97.92%	O1/O2v1_05_wbbN	ST1520-1LV	3	4	1	1	1	5	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
125929-17	Klebsiella pneumoniae	strong	50	398870	688238	ST661	0	1	5	5	-	0	-	0	-	0	-	0	-	-	wzi211	KL107	?-+*	None	84.82%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_11_gnd	O2v1	-	Good	98.25%	O1/O2v1_07_kfoC	ST661	4	3	1	36	9	10	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Qnr-S1	-	-	-	-	-	SulII	TetA	DfrA14	AmpH*;LAP-2	-	SHV-27	-	-	-
126192-17	Klebsiella michiganensis	strong	79	161073	432823	0	0	0	1	1	-	0	-	0	-	0	-	0	-	-	0	KL47	?-+*	None	80.49%	KL47_02_cpsACP,KL47_08_wcaA,KL47_09,KL47_10_wcqC,KL47_11_wzy,KL47_12_wcuT	O1v1	?-+*	Low	72.28%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	0	147*	126*	-	-	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	-	OXY1-1*	-	-	-	-	-
126458-17	Klebsiella pneumoniae	strong	130	232580	472974	ST380	5	0	0	0	ybt 12; ICEKp10	1-2LV	clb 1	1-1LV	iuc 2	14	iro 2	3-1LV	-	-	wzi2	KL5	?-*	None	90.81%	KL5_05_wzb,KL5_06_wzc,KL5_07,KL5_08_wzx,KL5_09,KL5_10,KL5_11,KL5_12,KL5_13,KL5_14,KL5_15_wcaJ	O1v1	?-	None	99.95%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_06_wbbO	ST380	2	1	1	1	1	4	19	1	1	1	1*	1	3	16	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-187*	-	-	-	-	-
128879-17	Klebsiella pneumoniae	strong	254	49790	197224	ST405	0	0	1	1	-	0	-	0	-	0	-	0	-	-	wzi143	KL107	?-	None	92.08%	KL107_04_wza,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	OL102	-*	None	87.65%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST405	2	1	62	3	10	4	110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-76*	-
129282-17	Klebsiella pneumoniae	strong	187	78226	294985	ST2447	1	0	1	1	ybt unknown	0	-	0	-	0	-	0	-	-	wzi466	KL107	?-+*	None	87.53%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O3/O3a	?-	Good	97.91%	O3/O3a_02_manB	ST2447	14	1	2	1	9	1	23	5	11	6*	5	1*	101*	65*	9	5*	5	14*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26*
