"Table S1: Strains included in the study and where they can be accessed
Columns: 
'Strain': species and strain name; 
'Included in comparative genomics analysis': Indicates whether the strain was included in the comparative genomic analysis (See Methods), 
'Biosample Accession (sequenced for this study)': NCBI Accessionnumber of strains sequenced for this study, short reads acquired on the Ilumina MiSeq platform as well as long reads acquired on the PacBio Sequel platform can be accessed here; 
'Genebank Accessionnumber ': NCBI Accessionnumber of the genome assemblies, sequenced for this study; 
'PacBio reads available (sequenced for this study)':Indicated whether this strain was sequenced on a PacBio Sequel platform in the course of this study;
'Genebank Accessionnumber  (previously available)': NCBI accessionnumber of publicly available assemblies included in this study
'SRA Accessionnumber  (previously available)': NCBI accessionnumber of publicly reads assemblies included in this study ",,,,,,,
Strain,Included in comperative genomics analysis,Biosample Accession (sequenced for this study),Genebank Accessionnumber ,PacBio reads available (sequenced for this study),Genebank Accessionnumber (previously available),SRA accessionnumer (previously available),
Klebsiella_aerogenes_717657-17,FALSE,SAMN12212322,VNVB00000000, ,,,
Klebsiella_grimontii_620206143210,TRUE,SAMN12212068,VNSG00000000, ,,,
Klebsiella_grimontii_620256532320,TRUE,SAMN12212069,VNSI00000000, ,,,
Klebsiella_grimontii_620257851413,TRUE,SAMN12212071,VNSK00000000, ,,,
Klebsiella_grimontii_620258715808,TRUE,SAMN12212072,VNSL00000000, ,,,
Klebsiella_grimontii_620260661315,TRUE,SAMN12212074,VNSO00000000, ,,,
Klebsiella_grimontii_620262140113,TRUE,SAMN12212075,VNSP00000000, ,,,
Klebsiella_grimontii_620262936017,TRUE,SAMN12212079,VNST00000000, ,,,
Klebsiella_grimontii_620279031217,FALSE,SAMN12212087,VNTD00000000, ,,,
Klebsiella_grimontii_132656-17,FALSE,SAMN12212117,VNNJ00000000, ,,,
Klebsiella_grimontii_170067317-17,FALSE,SAMN12212122,VNNO00000000, ,,,
Klebsiella_grimontii_170079723-17,FALSE,SAMN12212124,VNNQ00000000, ,,,
Klebsiella_grimontii_170096690-17,TRUE,SAMN12212125,VNNR00000000, ,,,
