replicate	number_of_strains	number_of_orthologous_cluster	sd
all_Core	1	5229.98	326.215480319
all_Pan	1	5229.98	326.215480319
all_Core	2	3400.71	849.601992641
all_Pan	2	7101.24	1101.46923806
all_Core	3	2780.43	725.9069948
all_Pan	3	8559.22	1207.83008391
all_Core	4	2550.82	655.256718851
all_Pan	4	9506.48	1283.19312249
all_Core	5	2359.83	561.39633157
all_Pan	5	10436.97	1232.04453211
all_Core	6	2165.62	445.905097078
all_Pan	6	11372.22	1172.66714442
all_Core	7	2065.4	390.33808423
all_Pan	7	12176.71	1148.82833613
all_Core	8	2009.92	358.951296975
all_Pan	8	12773.63	1113.34393298
all_Core	9	1953.4	334.29184854
all_Pan	9	13387.56	1115.45181268
all_Core	10	1866.48	310.981526139
all_Pan	10	13953.37	1057.36092849
all_Core	11	1805.93	292.8594972
all_Pan	11	14581.32	1003.23909294
all_Core	12	1777.51	287.211611708
all_Pan	12	15116.13	1031.18682745
all_Core	13	1751.84	281.394304136
all_Pan	13	15631.85	1025.87801785
all_Core	14	1693.44	262.390484584
all_Pan	14	16172.19	947.818154447
all_Core	15	1661.84	284.310172875
all_Pan	15	16601.51	938.570151827
all_Core	16	1623.07	310.235241551
all_Pan	16	17118.0	854.038956957
all_Core	17	1599.75	313.022886543
all_Pan	17	17550.7	834.841535862
all_Core	18	1588.6	312.199071107
all_Pan	18	17940.29	829.99381076
all_Core	19	1559.57	306.096431047
all_Pan	19	18332.64	840.736790202
all_Core	20	1548.77	302.26282785
all_Pan	20	18678.94	853.510478202
all_Core	21	1535.16	297.76429336
all_Pan	21	19036.68	849.227106021
all_Core	22	1516.17	293.487923261
all_Pan	22	19438.92	845.827484538
all_Core	23	1503.36	291.196446407
all_Pan	23	19792.66	845.684731091
all_Core	24	1475.62	309.171789787
all_Pan	24	20125.93	875.585452769
all_Core	25	1458.94	308.861257525
all_Pan	25	20495.48	909.556534582
all_Core	26	1446.63	306.711318833
all_Pan	26	20816.4	881.85697253
all_Core	27	1432.28	301.913235218
all_Pan	27	21164.05	883.4040794
all_Core	28	1412.41	318.60364389
all_Pan	28	21485.57	894.707519304
all_Core	29	1388.41	314.101610789
all_Pan	29	21808.75	842.725345234
all_Core	30	1377.37	309.259944222
all_Pan	30	22109.19	854.827768559
all_Core	31	1361.81	305.533457906
all_Pan	31	22432.63	847.864419055
all_Core	32	1353.87	302.11622449
all_Pan	32	22706.95	839.616571716
all_Core	33	1346.47	299.471015459
all_Pan	33	22994.36	855.459391438
all_Core	34	1328.93	312.588075748
all_Pan	34	23250.0	845.49469543
all_Core	35	1315.01	308.765817247
all_Pan	35	23515.29	871.882988652
all_Core	36	1307.46	308.035141502
all_Pan	36	23778.82	867.435258449
all_Core	37	1298.02	307.702453029
all_Pan	37	24050.41	891.625023146
all_Core	38	1282.07	319.179017324
all_Pan	38	24295.07	870.899503445
all_Core	39	1270.63	316.048023408
all_Pan	39	24552.98	875.579430777
all_Core	40	1266.91	316.316774611
all_Pan	40	24797.38	879.410845737
all_Core	41	1246.1	324.512942731
all_Pan	41	25038.57	871.808032253
all_Core	42	1239.91	321.624162494
all_Pan	42	25261.01	858.251891871
all_Core	43	1221.11	330.115279713
all_Pan	43	25512.37	871.047193383
all_Core	44	1212.32	327.229059834
all_Pan	44	25741.36	868.034867042
all_Core	45	1202.93	323.522711877
all_Pan	45	25961.52	870.98272635
all_Core	46	1197.08	321.637923137
all_Pan	46	26190.67	858.511223631
all_Core	47	1185.0	332.820131603
all_Pan	47	26436.33	874.344875378
all_Core	48	1178.5	331.413955651
all_Pan	48	26649.26	884.935337977
all_Core	49	1167.75	327.168133381
all_Pan	49	26869.9	866.494448915
all_Core	50	1162.77	326.052660011
all_Pan	50	27065.19	860.864399252
all_Core	51	1157.67	325.066056518
all_Pan	51	27262.95	846.71302547
all_Core	52	1146.3	320.330407548
all_Pan	52	27485.78	854.823462242
all_Core	53	1139.39	318.311165214
all_Pan	53	27706.77	853.21224622
all_Core	54	1131.62	316.548346386
all_Pan	54	27921.91	853.361132171
all_Core	55	1127.45	315.66958596
all_Pan	55	28133.88	857.76361872
all_Core	56	1121.91	314.610269858
all_Pan	56	28335.68	848.348995166
all_Core	57	1114.46	312.674924482
all_Pan	57	28532.16	850.047560081
all_Core	58	1109.64	310.214716608
all_Pan	58	28724.83	824.712932541
all_Core	59	1093.32	316.43589809
all_Pan	59	28907.47	843.003054028
all_Core	60	1088.65	315.050420568
all_Pan	60	29108.85	847.042435478
all_Core	61	1083.69	313.486800201
all_Pan	61	29292.05	870.276489111
all_Core	62	1079.98	312.559017787
all_Pan	62	29500.13	877.048238753
all_Core	63	1064.62	318.016281973
all_Pan	63	29684.63	866.430397147
all_Core	64	1057.11	316.349360518
all_Pan	64	29864.74	889.736102673
all_Core	65	1042.46	322.663583938
all_Pan	65	30072.97	887.523638615
all_Core	66	1038.16	321.809469096
all_Pan	66	30244.8	897.023422214
all_Core	67	1027.32	330.095679463
all_Pan	67	30424.7	889.386153479
all_Core	68	1023.09	329.157138613
all_Pan	68	30600.28	884.869968752
all_Core	69	1011.85	322.277531795
all_Pan	69	30795.92	894.957682575
all_Core	70	1007.78	320.371895771
all_Pan	70	30962.14	915.515308665
all_Core	71	1005.04	319.776951014
all_Pan	71	31131.66	915.423631113
all_Core	72	999.35	317.259716163
all_Pan	72	31299.18	909.77751544
all_Core	73	996.18	316.688912973
all_Pan	73	31459.9	915.871732286
all_Core	74	990.49	313.736911918
all_Pan	74	31619.34	920.101877185
all_Core	75	986.55	315.297268463
all_Pan	75	31798.82	914.203121631
all_Core	76	980.68	311.738636681
all_Pan	76	31941.04	918.802350019
all_Core	77	968.49	317.380953902
all_Pan	77	32113.86	933.255817233
all_Core	78	964.64	316.549475438
all_Pan	78	32269.17	934.94709
all_Core	79	949.52	321.287829835
all_Pan	79	32453.62	930.282481615
all_Core	80	943.08	317.40493632
