replicate	number_of_strains	number_of_orthologous_cluster	sd
grimontii_Core	1	5574.45	272.799097323
grimontii_Pan	1	5574.45	272.799097323
grimontii_Core	2	4666.33	201.281646207
grimontii_Pan	2	6425.25	422.891153253
grimontii_Core	3	4512.67	182.561882933
grimontii_Pan	3	7087.08	424.366909172
grimontii_Core	4	4388.75	180.56457986
grimontii_Pan	4	7686.12	447.624491734
grimontii_Core	5	4312.58	179.392261818
grimontii_Pan	5	8172.9	492.312268789
grimontii_Core	6	4244.59	181.554900512
grimontii_Pan	6	8669.22	483.134113472
grimontii_Core	7	4188.26	178.390841693
grimontii_Pan	7	9079.94	499.419779744
grimontii_Core	8	4140.53	177.504898806
grimontii_Pan	8	9492.5	489.976968846
grimontii_Core	9	4100.06	168.257946023
grimontii_Pan	9	9858.83	488.282562765
grimontii_Core	10	4064.09	165.819968339
grimontii_Pan	10	10238.22	494.565841522
grimontii_Core	11	4024.1	158.340045472
grimontii_Pan	11	10612.73	523.457846536
grimontii_Core	12	3980.97	147.274875997
grimontii_Pan	12	10956.8	517.150577685
grimontii_Core	13	3945.46	144.116509811
grimontii_Pan	13	11295.17	524.740184377
grimontii_Core	14	3905.7	128.183345252
grimontii_Pan	14	11657.97	511.906504256
grimontii_Core	15	3874.92	121.679881657
grimontii_Pan	15	12002.02	518.367649068
grimontii_Core	16	3846.55	105.642167244
grimontii_Pan	16	12314.89	503.782232616
grimontii_Core	17	3819.6	101.205731063
grimontii_Pan	17	12612.32	511.452165505
grimontii_Core	18	3793.94	91.2358284886
grimontii_Pan	18	12918.15	523.854395324
grimontii_Core	19	3772.28	92.5415668767
grimontii_Pan	19	13205.67	525.149789203
grimontii_Core	20	3752.63	88.9451128506
grimontii_Pan	20	13502.32	509.970428162
grimontii_Core	21	3731.22	78.8345837815
grimontii_Pan	21	13764.65	511.0658348
grimontii_Core	22	3709.8	76.663811541
grimontii_Pan	22	14048.01	504.905367272
grimontii_Core	23	3689.55	75.3972645392
grimontii_Pan	23	14308.86	478.029936719
grimontii_Core	24	3668.19	74.0358960235
grimontii_Pan	24	14545.07	438.645078737
grimontii_Core	25	3651.28	73.0534160734
grimontii_Pan	25	14781.79	426.953728055
grimontii_Core	26	3634.52	68.7394326424
grimontii_Pan	26	15014.13	398.755505417
grimontii_Core	27	3616.15	63.2840224701
grimontii_Pan	27	15247.76	338.137490379
grimontii_Core	28	3597.48	57.9790444902
grimontii_Pan	28	15455.68	320.181257415
grimontii_Core	29	3580.77	58.4773212451
grimontii_Pan	29	15678.44	299.252011522
grimontii_Core	30	3566.22	54.7957261107
grimontii_Pan	30	15869.21	288.452467315
grimontii_Core	31	3549.52	49.4894897933
grimontii_Pan	31	16075.44	260.788854056
grimontii_Core	32	3532.99	41.9629586659
grimontii_Pan	32	16296.1	214.245583385
grimontii_Core	33	3519.38	38.3866591409
grimontii_Pan	33	16474.57	203.565530235
grimontii_Core	34	3505.2	32.2527518206
grimontii_Pan	34	16656.34	181.346641546
grimontii_Core	35	3488.07	24.1044622425
grimontii_Pan	35	16887.22	140.816446483
grimontii_Core	36	3471.08	15.8837527052
grimontii_Pan	36	17099.81	108.757684326
grimontii_Core	37	3458.0	0.0
grimontii_Pan	37	17302.0	0.0
