replicate	number_of_strains	number_of_orthologous_cluster	sd
michiganensis_Core	1	5736.47	282.49727273
michiganensis_Pan	1	5736.47	282.49727273
michiganensis_Core	2	4763.99	175.030425641
michiganensis_Pan	2	6695.95	400.456423971
michiganensis_Core	3	4531.51	211.924255101
michiganensis_Pan	3	7471.67	466.909863999
michiganensis_Core	4	4390.33	210.307872178
michiganensis_Pan	4	8162.92	544.010619014
michiganensis_Core	5	4268.14	212.649524805
michiganensis_Pan	5	8781.81	548.275107861
michiganensis_Core	6	4187.86	214.428263995
michiganensis_Pan	6	9365.04	575.238157983
michiganensis_Core	7	4124.23	217.520061374
michiganensis_Pan	7	9883.18	586.102625485
michiganensis_Core	8	4055.25	229.700255768
michiganensis_Pan	8	10371.06	588.266110192
michiganensis_Core	9	3997.33	238.897469848
michiganensis_Pan	9	10846.9	626.124372629
michiganensis_Core	10	3944.55	234.067655818
michiganensis_Pan	10	11285.73	628.311417292
michiganensis_Core	11	3897.99	232.12184279
michiganensis_Pan	11	11683.16	625.630157841
michiganensis_Core	12	3844.25	240.185610518
michiganensis_Pan	12	12073.86	619.414982383
michiganensis_Core	13	3805.57	234.732198686
michiganensis_Pan	13	12444.2	615.457390889
michiganensis_Core	14	3752.96	237.516522373
michiganensis_Pan	14	12831.98	602.912447707
michiganensis_Core	15	3722.66	227.44723432
michiganensis_Pan	15	13199.14	612.945577029
michiganensis_Core	16	3690.14	223.015560892
michiganensis_Pan	16	13555.64	608.555675678
michiganensis_Core	17	3659.96	221.491350621
michiganensis_Pan	17	13888.96	624.377496712
michiganensis_Core	18	3630.26	220.285161552
michiganensis_Pan	18	14243.03	635.523130264
michiganensis_Core	19	3595.85	217.046371773
michiganensis_Pan	19	14561.78	633.761383803
michiganensis_Core	20	3566.63	212.588647627
michiganensis_Pan	20	14876.34	633.859199192
michiganensis_Core	21	3533.67	211.245357582
michiganensis_Pan	21	15173.38	627.432861428
michiganensis_Core	22	3511.6	212.378294559
michiganensis_Pan	22	15492.63	634.745518377
michiganensis_Core	23	3482.77	213.350643543
michiganensis_Pan	23	15784.35	635.198651998
michiganensis_Core	24	3454.86	208.996508105
michiganensis_Pan	24	16098.35	639.814119491
michiganensis_Core	25	3435.41	205.447224123
michiganensis_Pan	25	16369.75	616.414752825
michiganensis_Core	26	3418.31	199.00752222
michiganensis_Pan	26	16617.18	613.44010922
michiganensis_Core	27	3402.98	193.777190608
michiganensis_Pan	27	16869.6	598.111711974
michiganensis_Core	28	3378.22	195.328727022
michiganensis_Pan	28	17121.06	590.391324801
michiganensis_Core	29	3358.3	195.971094807
michiganensis_Pan	29	17363.63	599.876331505
michiganensis_Core	30	3334.94	189.048608564
michiganensis_Pan	30	17597.78	587.805913206
michiganensis_Core	31	3310.09	182.365462465
michiganensis_Pan	31	17833.78	572.094163228
michiganensis_Core	32	3290.84	180.595776252
michiganensis_Pan	32	18056.29	548.945831481
michiganensis_Core	33	3264.49	176.791373941
michiganensis_Pan	33	18311.02	518.254107171
michiganensis_Core	34	3249.07	174.031908281
michiganensis_Pan	34	18550.81	495.511668783
michiganensis_Core	35	3233.1	172.057112611
michiganensis_Pan	35	18794.13	478.925456726
michiganensis_Core	36	3218.88	171.326605056
michiganensis_Pan	36	19012.46	456.544180118
michiganensis_Core	37	3204.52	168.985885801
michiganensis_Pan	37	19223.69	436.329891137
michiganensis_Core	38	3187.49	160.828075596
michiganensis_Pan	38	19436.11	431.964857251
michiganensis_Core	39	3167.0	160.497912759
michiganensis_Pan	39	19650.3	413.586520573
michiganensis_Core	40	3148.07	156.087940277
michiganensis_Pan	40	19843.75	422.022970346
michiganensis_Core	41	3138.74	154.567242325
michiganensis_Pan	41	20051.59	401.975374743
michiganensis_Core	42	3129.12	152.638218019
michiganensis_Pan	42	20240.42	367.041283237
michiganensis_Core	43	3113.85	150.355869523
michiganensis_Pan	43	20447.79	347.627596574
michiganensis_Core	44	3100.37	147.376840447
michiganensis_Pan	44	20658.32	332.104859344
michiganensis_Core	45	3082.04	136.656571009
michiganensis_Pan	45	20840.55	307.179926916
michiganensis_Core	46	3065.71	126.392744649
michiganensis_Pan	46	21031.27	302.74084148
michiganensis_Core	47	3052.01	124.507790519
michiganensis_Pan	47	21213.42	280.70757667
michiganensis_Core	48	3037.49	116.263364393
michiganensis_Pan	48	21390.68	248.147733417
michiganensis_Core	49	3029.39	116.379800223
michiganensis_Pan	49	21583.81	225.386454562
michiganensis_Core	50	3004.91	101.965101383
michiganensis_Pan	50	21769.71	196.069951548
michiganensis_Core	51	2993.82	98.3986158439
michiganensis_Pan	51	21943.99	178.296466314
michiganensis_Core	52	2976.88	81.1114393905
michiganensis_Pan	52	22116.35	155.494139761
michiganensis_Core	53	2960.63	60.9924019858
michiganensis_Pan	53	22281.71	105.231107093
michiganensis_Core	54	2942.0	0.0
michiganensis_Pan	54	22441.0	0.0
