replicate	number_of_strains	number_of_orthologous_cluster	sd
oxytoca_Core	1	5570.49	228.569748436
oxytoca_Pan	1	5570.49	228.569748436
oxytoca_Core	2	4816.34	136.920430908
oxytoca_Pan	2	6301.31	299.204334695
oxytoca_Core	3	4664.2	132.550367785
oxytoca_Pan	3	6855.72	356.538667749
oxytoca_Core	4	4567.5	138.005325984
oxytoca_Pan	4	7344.91	405.803871224
oxytoca_Core	5	4493.68	138.583323672
oxytoca_Pan	5	7825.78	427.274702738
oxytoca_Core	6	4429.62	142.847035671
oxytoca_Pan	6	8281.13	454.577422559
oxytoca_Core	7	4376.81	142.370691858
oxytoca_Pan	7	8702.82	463.620003451
oxytoca_Core	8	4342.27	141.670946563
oxytoca_Pan	8	9065.18	467.840750256
oxytoca_Core	9	4290.71	145.563133726
oxytoca_Pan	9	9445.57	502.249624291
oxytoca_Core	10	4256.85	143.140027595
oxytoca_Pan	10	9814.28	512.076499754
oxytoca_Core	11	4211.42	141.750779892
oxytoca_Pan	11	10156.07	477.361147455
oxytoca_Core	12	4169.66	135.153854551
oxytoca_Pan	12	10513.46	471.260510122
oxytoca_Core	13	4138.75	134.719291492
oxytoca_Pan	13	10804.88	471.744216287
oxytoca_Core	14	4105.85	135.798333937
oxytoca_Pan	14	11124.51	464.08108117
oxytoca_Core	15	4078.6	134.637439072
oxytoca_Pan	15	11414.26	471.224481962
oxytoca_Core	16	4049.48	135.16674739
oxytoca_Pan	16	11701.67	465.600516645
oxytoca_Core	17	4017.89	139.047825945
oxytoca_Pan	17	12005.63	478.383019243
oxytoca_Core	18	3990.09	134.826636463
oxytoca_Pan	18	12275.55	485.497319766
oxytoca_Core	19	3963.27	130.682811035
oxytoca_Pan	19	12544.41	502.175528974
oxytoca_Core	20	3932.92	131.120683342
oxytoca_Pan	20	12806.09	482.880256275
oxytoca_Core	21	3909.67	124.10310673
oxytoca_Pan	21	13062.31	454.256638807
oxytoca_Core	22	3885.58	125.136340046
oxytoca_Pan	22	13313.17	445.770009198
oxytoca_Core	23	3859.68	116.692063141
oxytoca_Pan	23	13568.75	414.867216709
oxytoca_Core	24	3839.76	115.923778406
oxytoca_Pan	24	13824.16	391.868873987
oxytoca_Core	25	3817.11	113.558433857
oxytoca_Pan	25	14071.99	381.423819261
oxytoca_Core	26	3804.23	110.131090524
oxytoca_Pan	26	14290.59	357.868386282
oxytoca_Core	27	3780.72	103.791144131
oxytoca_Pan	27	14519.12	341.62802227
oxytoca_Core	28	3753.04	103.733207798
oxytoca_Pan	28	14754.82	354.699771074
oxytoca_Core	29	3733.57	104.095653608
oxytoca_Pan	29	14974.66	353.248813728
oxytoca_Core	30	3709.98	99.2605641733
oxytoca_Pan	30	15197.64	345.255717404
oxytoca_Core	31	3696.97	94.7255461848
oxytoca_Pan	31	15386.34	334.943942175
oxytoca_Core	32	3677.52	91.3621891156
oxytoca_Pan	32	15572.24	314.417528773
oxytoca_Core	33	3660.21	90.4187253836
oxytoca_Pan	33	15784.37	305.15988121
oxytoca_Core	34	3643.17	87.7038260283
oxytoca_Pan	34	15971.32	297.853651312
oxytoca_Core	35	3623.16	80.6903612583
oxytoca_Pan	35	16194.56	250.812452641
oxytoca_Core	36	3607.75	79.2279464583
oxytoca_Pan	36	16392.29	238.780204163
oxytoca_Core	37	3582.59	62.2381064943
oxytoca_Pan	37	16610.55	211.107952242
oxytoca_Core	38	3566.01	57.4317847537
oxytoca_Pan	38	16811.37	191.374013649
oxytoca_Core	39	3546.92	49.8709695113
oxytoca_Pan	39	16989.0	167.870485792
oxytoca_Core	40	3524.56	31.5744580318
oxytoca_Pan	40	17176.33	121.893728715
oxytoca_Core	41	3507.0	0.0
oxytoca_Pan	41	17376.0	0.0
