replicate	number_of_strains	number_of_orthologous_cluster	sd
oxytoca_group_Core	1	5563.16	273.258548631
oxytoca_group_Pan	1	5563.16	273.258548631
oxytoca_group_Core	2	4311.85	306.260979395
oxytoca_group_Pan	2	6867.78	485.864066998
oxytoca_group_Core	3	3998.59	254.601967589
oxytoca_group_Pan	3	7811.47	552.162321333
oxytoca_group_Core	4	3840.95	214.531134104
oxytoca_group_Pan	4	8559.98	584.969537327
oxytoca_group_Core	5	3724.03	178.065462962
oxytoca_group_Pan	5	9235.8	606.112382319
oxytoca_group_Core	6	3637.93	165.594338973
oxytoca_group_Pan	6	9852.72	614.32519206
oxytoca_group_Core	7	3576.46	158.339029933
oxytoca_group_Pan	7	10413.39	605.697331924
oxytoca_group_Core	8	3526.76	149.919919957
oxytoca_group_Pan	8	10923.73	559.649780756
oxytoca_group_Core	9	3489.37	146.67696854
oxytoca_group_Pan	9	11398.19	606.156657886
oxytoca_group_Core	10	3454.07	151.600412598
oxytoca_group_Pan	10	11875.0	593.148092807
oxytoca_group_Core	11	3405.94	151.616873731
oxytoca_group_Pan	11	12344.7	557.416639508
oxytoca_group_Core	12	3376.04	146.238293207
oxytoca_group_Pan	12	12792.62	551.65543195
oxytoca_group_Core	13	3354.49	145.971880511
oxytoca_group_Pan	13	13171.76	555.260949824
oxytoca_group_Core	14	3330.11	144.844461061
oxytoca_group_Pan	14	13555.0	567.067632651
oxytoca_group_Core	15	3296.61	149.621181321
oxytoca_group_Pan	15	13929.14	592.54137442
oxytoca_group_Core	16	3278.08	147.204461889
oxytoca_group_Pan	16	14276.77	598.678241713
oxytoca_group_Core	17	3249.06	152.373082925
oxytoca_group_Pan	17	14642.26	581.067235697
oxytoca_group_Core	18	3220.99	157.60136389
oxytoca_group_Pan	18	15000.86	577.549669206
oxytoca_group_Core	19	3203.5	157.963445138
oxytoca_group_Pan	19	15289.36	591.80805199
oxytoca_group_Core	20	3188.44	155.917049741
oxytoca_group_Pan	20	15602.38	594.268757045
oxytoca_group_Core	21	3169.23	156.769822032
oxytoca_group_Pan	21	15927.12	604.209090961
oxytoca_group_Core	22	3152.94	156.400883629
oxytoca_group_Pan	22	16240.4	595.134404988
oxytoca_group_Core	23	3135.98	158.345885959
oxytoca_group_Pan	23	16538.27	603.580514182
oxytoca_group_Core	24	3113.32	155.125876629
oxytoca_group_Pan	24	16842.61	586.053835326
oxytoca_group_Core	25	3096.24	154.80549861
oxytoca_group_Pan	25	17137.96	613.966333279
oxytoca_group_Core	26	3074.01	153.993408625
oxytoca_group_Pan	26	17428.37	605.330119109
oxytoca_group_Core	27	3056.26	155.331749491
oxytoca_group_Pan	27	17693.59	594.350521073
oxytoca_group_Core	28	3043.19	154.985463512
oxytoca_group_Pan	28	17955.14	605.414436894
oxytoca_group_Core	29	3028.42	158.750633385
oxytoca_group_Pan	29	18213.41	622.793851848
oxytoca_group_Core	30	3016.61	158.494346587
oxytoca_group_Pan	30	18471.0	629.103107606
oxytoca_group_Core	31	3006.8	157.305816803
oxytoca_group_Pan	31	18736.56	661.031577461
oxytoca_group_Core	32	2993.77	160.595569989
oxytoca_group_Pan	32	18972.32	684.496119492
oxytoca_group_Core	33	2980.06	160.911455155
oxytoca_group_Pan	33	19211.61	683.771085891
oxytoca_group_Core	34	2967.39	159.965114634
oxytoca_group_Pan	34	19434.71	664.969236807
oxytoca_group_Core	35	2955.99	158.280920834
oxytoca_group_Pan	35	19660.36	650.995860509
oxytoca_group_Core	36	2945.53	156.167695443
oxytoca_group_Pan	36	19904.28	654.34830297
oxytoca_group_Core	37	2925.96	158.698514171
oxytoca_group_Pan	37	20133.04	638.996164621
oxytoca_group_Core	38	2913.22	157.661636424
oxytoca_group_Pan	38	20353.5	632.322615442
oxytoca_group_Core	39	2899.43	157.033961613
oxytoca_group_Pan	39	20565.0	639.360070696
oxytoca_group_Core	40	2881.94	162.647091582
oxytoca_group_Pan	40	20805.91	639.684423681
oxytoca_group_Core	41	2871.9	162.429215352
oxytoca_group_Pan	41	21015.49	629.221209035
oxytoca_group_Core	42	2860.38	162.439390543
oxytoca_group_Pan	42	21221.5	618.003406139
oxytoca_group_Core	43	2849.87	160.515149129
oxytoca_group_Pan	43	21445.55	595.71203404
oxytoca_group_Core	44	2825.59	161.495764341
oxytoca_group_Pan	44	21678.37	590.691097868
oxytoca_group_Core	45	2812.94	161.016323396
oxytoca_group_Pan	45	21883.62	606.338960978
oxytoca_group_Core	46	2802.89	156.783410793
oxytoca_group_Pan	46	22087.03	606.25986928
oxytoca_group_Core	47	2787.37	155.853306349
oxytoca_group_Pan	47	22290.84	599.168569269
oxytoca_group_Core	48	2777.96	153.3625065
oxytoca_group_Pan	48	22499.44	592.480924925
oxytoca_group_Core	49	2766.79	151.980018094
oxytoca_group_Pan	49	22679.85	588.544040408
oxytoca_group_Core	50	2754.42	155.754305237
oxytoca_group_Pan	50	22851.61	594.553259095
oxytoca_group_Core	51	2738.57	153.019753954
oxytoca_group_Pan	51	23045.32	596.299905752
oxytoca_group_Core	52	2732.54	152.016210978
oxytoca_group_Pan	52	23220.58	590.70617366
oxytoca_group_Core	53	2725.5	151.743237082
oxytoca_group_Pan	53	23391.86	582.686485513
oxytoca_group_Core	54	2718.58	150.388242892
oxytoca_group_Pan	54	23573.25	582.865153788
oxytoca_group_Core	55	2710.47	149.668731203
oxytoca_group_Pan	55	23767.16	590.602941408
oxytoca_group_Core	56	2702.2	152.642654589
oxytoca_group_Pan	56	23948.58	622.549647498
oxytoca_group_Core	57	2694.16	152.065559546
oxytoca_group_Pan	57	24130.98	611.076983366
oxytoca_group_Core	58	2686.5	151.917773812
oxytoca_group_Pan	58	24299.42	607.948668557
oxytoca_group_Core	59	2680.01	150.174664641
oxytoca_group_Pan	59	24470.15	602.373478417
oxytoca_group_Core	60	2670.11	147.972152448
oxytoca_group_Pan	60	24638.79	594.854087907
oxytoca_group_Core	61	2664.24	145.726532931
oxytoca_group_Pan	61	24793.18	616.678706946
oxytoca_group_Core	62	2654.44	145.064697291
oxytoca_group_Pan	62	24959.66	620.445778775
oxytoca_group_Core	63	2646.09	145.730373979
