replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumonia_group_Core	1	5124.95	469.030795897
pneumonia_group_Pan	1	5124.95	469.030795897
pneumonia_group_Core	2	3787.1	483.698304731
pneumonia_group_Pan	2	6491.02	393.282747651
pneumonia_group_Core	3	3439.55	534.476498548
pneumonia_group_Pan	3	7337.61	468.024462929
pneumonia_group_Core	4	3211.28	505.625910728
pneumonia_group_Pan	4	8185.51	548.188863349
pneumonia_group_Core	5	3074.69	475.504630787
pneumonia_group_Pan	5	8855.18	579.759732648
pneumonia_group_Core	6	2952.24	521.712260159
pneumonia_group_Pan	6	9434.97	622.669951981
pneumonia_group_Core	7	2864.03	518.199082496
pneumonia_group_Pan	7	9977.91	643.300226877
pneumonia_group_Core	8	2774.85	511.611617831
pneumonia_group_Pan	8	10533.88	656.468967736
pneumonia_group_Core	9	2697.66	503.55222609
pneumonia_group_Pan	9	11026.99	666.356203468
pneumonia_group_Core	10	2619.73	547.468169942
pneumonia_group_Pan	10	11497.78	694.640692445
pneumonia_group_Core	11	2564.83	540.757432774
pneumonia_group_Pan	11	11903.91	701.856567897
pneumonia_group_Core	12	2505.58	531.34271765
pneumonia_group_Pan	12	12350.45	724.832399593
pneumonia_group_Core	13	2456.35	527.459010256
pneumonia_group_Pan	13	12769.88	745.705334298
pneumonia_group_Core	14	2375.33	537.74957099
pneumonia_group_Pan	14	13163.76	725.191355712
pneumonia_group_Core	15	2326.17	527.216275451
pneumonia_group_Pan	15	13563.13	704.079763308
pneumonia_group_Core	16	2277.75	517.024320028
pneumonia_group_Pan	16	13907.71	721.791566798
pneumonia_group_Core	17	2231.81	505.287892097
pneumonia_group_Pan	17	14247.32	735.235756475
pneumonia_group_Core	18	2196.4	501.219193567
pneumonia_group_Pan	18	14601.15	728.687290612
pneumonia_group_Core	19	2144.26	511.796495103
pneumonia_group_Pan	19	14920.2	690.438527314
pneumonia_group_Core	20	2112.09	507.965551883
pneumonia_group_Pan	20	15243.54	688.046109211
pneumonia_group_Core	21	2079.47	496.104937589
pneumonia_group_Pan	21	15542.45	689.026695782
pneumonia_group_Core	22	2045.56	484.549405531
pneumonia_group_Pan	22	15858.33	662.331322753
pneumonia_group_Core	23	2001.31	501.367763124
pneumonia_group_Pan	23	16164.37	665.368343927
pneumonia_group_Core	24	1987.25	500.851482478
pneumonia_group_Pan	24	16441.45	667.13858193
pneumonia_group_Core	25	1969.73	495.382596687
pneumonia_group_Pan	25	16691.29	680.812386712
pneumonia_group_Core	26	1937.92	488.080007376
pneumonia_group_Pan	26	16959.25	671.291015507
pneumonia_group_Core	27	1913.74	481.689684756
pneumonia_group_Pan	27	17225.5	661.809617639
pneumonia_group_Core	28	1880.74	499.276569048
pneumonia_group_Pan	28	17488.79	659.439175285
pneumonia_group_Core	29	1859.08	494.01203791
pneumonia_group_Pan	29	17739.51	669.799365407
pneumonia_group_Core	30	1840.44	486.344514105
pneumonia_group_Pan	30	17983.22	676.012049893
pneumonia_group_Core	31	1827.18	481.100932861
pneumonia_group_Pan	31	18214.26	674.360788006
pneumonia_group_Core	32	1802.39	498.234340346
pneumonia_group_Pan	32	18427.07	667.121147244
pneumonia_group_Core	33	1781.41	491.187725722
pneumonia_group_Pan	33	18655.12	679.869138585
pneumonia_group_Core	34	1759.98	481.936717423
