replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumoniae_Core	1	5051.37	233.594976616
pneumoniae_Pan	1	5051.37	233.594976616
pneumoniae_Core	2	3831.8	481.274142252
pneumoniae_Pan	2	6232.77	433.217055412
pneumoniae_Core	3	3521.49	475.45770569
pneumoniae_Pan	3	7045.87	537.380287227
pneumoniae_Core	4	3258.07	518.127402383
pneumoniae_Pan	4	7780.75	546.156138389
pneumoniae_Core	5	3070.22	564.288730704
pneumoniae_Pan	5	8425.0	562.734146822
pneumoniae_Core	6	2963.86	540.726881522
pneumoniae_Pan	6	8969.84	564.548008942
pneumoniae_Core	7	2829.82	548.313803948
pneumoniae_Pan	7	9499.88	559.348661927
pneumoniae_Core	8	2722.67	528.038522364
pneumoniae_Pan	8	10023.46	574.772953783
pneumoniae_Core	9	2620.8	500.973532235
pneumoniae_Pan	9	10492.79	594.53844779
pneumoniae_Core	10	2550.62	485.140284454
pneumoniae_Pan	10	10919.9	609.337041382
pneumoniae_Core	11	2496.23	474.585732086
pneumoniae_Pan	11	11307.33	596.883389868
pneumoniae_Core	12	2443.25	462.857091876
pneumoniae_Pan	12	11683.97	596.200091496
pneumoniae_Core	13	2348.57	529.37025332
pneumoniae_Pan	13	12064.1	631.711271072
pneumoniae_Core	14	2293.93	516.00128401
pneumoniae_Pan	14	12431.14	630.252600471
pneumoniae_Core	15	2253.09	498.028776177
pneumoniae_Pan	15	12747.48	611.288303176
pneumoniae_Core	16	2170.29	505.785197391
pneumoniae_Pan	16	13116.39	611.931824552
pneumoniae_Core	17	2125.97	488.043163153
pneumoniae_Pan	17	13430.85	603.766848626
pneumoniae_Core	18	2082.27	474.08549556
pneumoniae_Pan	18	13738.86	582.861012935
pneumoniae_Core	19	2008.93	511.770050999
pneumoniae_Pan	19	14052.05	593.065668792
pneumoniae_Core	20	1969.71	497.509161624
pneumoniae_Pan	20	14355.11	566.481207014
pneumoniae_Core	21	1946.11	489.634310379
pneumoniae_Pan	21	14613.7	562.978711853
pneumoniae_Core	22	1921.98	485.477929055
pneumoniae_Pan	22	14871.56	563.745143128
pneumoniae_Core	23	1898.99	481.292956421
pneumoniae_Pan	23	15120.98	587.814902499
pneumoniae_Core	24	1860.85	471.592013821
pneumoniae_Pan	24	15393.02	591.33278245
pneumoniae_Core	25	1825.0	458.647947777
pneumoniae_Pan	25	15650.65	586.146540978
pneumoniae_Core	26	1803.93	451.067184685
pneumoniae_Pan	26	15884.94	576.485486721
pneumoniae_Core	27	1782.25	439.490736535
pneumoniae_Pan	27	16109.26	549.281250727
pneumoniae_Core	28	1751.94	455.034807899
pneumoniae_Pan	28	16317.62	555.895381884
pneumoniae_Core	29	1737.0	448.013928355
pneumoniae_Pan	29	16521.54	545.355928179
pneumoniae_Core	30	1711.91	444.224652513
pneumoniae_Pan	30	16743.69	554.80796128
pneumoniae_Core	31	1683.82	459.761381153
pneumoniae_Pan	31	16948.74	557.955977116
pneumoniae_Core	32	1653.92	467.391969978
pneumoniae_Pan	32	17153.35	542.129622415
pneumoniae_Core	33	1626.18	458.068081839
pneumoniae_Pan	33	17380.13	568.471998519
pneumoniae_Core	34	1597.31	465.336301937
pneumoniae_Pan	34	17580.95	554.478825114
pneumoniae_Core	35	1568.42	476.233034973
pneumoniae_Pan	35	17801.88	587.282747576
pneumoniae_Core	36	1535.97	476.475591295
pneumoniae_Pan	36	18014.29	576.148579708
pneumoniae_Core	37	1522.1	470.824266579
pneumoniae_Pan	37	18228.49	568.270243722
pneumoniae_Core	38	1509.4	464.622384308
pneumoniae_Pan	38	18414.62	559.147937133
pneumoniae_Core	39	1497.3	460.706164491
pneumoniae_Pan	39	18574.99	547.01357378
pneumoniae_Core	40	1457.17	477.149034475
pneumoniae_Pan	40	18755.0	554.787635046
pneumoniae_Core	41	1429.65	481.298397566
pneumoniae_Pan	41	18937.73	554.303794954
pneumoniae_Core	42	1408.33	489.746547818
pneumoniae_Pan	42	19116.59	558.933951286
pneumoniae_Core	43	1384.85	493.593301717
pneumoniae_Pan	43	19283.62	538.04198312
pneumoniae_Core	44	1363.84	496.376081616
pneumoniae_Pan	44	19422.17	545.270869477
pneumoniae_Core	45	1356.11	494.053618446
pneumoniae_Pan	45	19596.21	561.09341994
pneumoniae_Core	46	1347.07	490.922707868
pneumoniae_Pan	46	19748.42	559.970556012
pneumoniae_Core	47	1315.67	505.114700934
pneumoniae_Pan	47	19915.99	546.963627584
pneumoniae_Core	48	1309.44	502.585103639
pneumoniae_Pan	48	20061.13	533.963157062
pneumoniae_Core	49	1287.15	505.617194625
pneumoniae_Pan	49	20208.2	538.272496046
pneumoniae_Core	50	1277.96	501.35390534
pneumoniae_Pan	50	20357.42	552.753528799
pneumoniae_Core	51	1257.8	504.105604016
pneumoniae_Pan	51	20522.81	573.139855445
pneumoniae_Core	52	1248.14	499.746456115
pneumoniae_Pan	52	20668.29	580.95976272
pneumoniae_Core	53	1236.85	494.96921874
pneumoniae_Pan	53	20820.64	581.709214643
pneumoniae_Core	54	1206.98	505.202849952
pneumoniae_Pan	54	20979.31	578.656939732
pneumoniae_Core	55	1199.18	501.411794436
pneumoniae_Pan	55	21123.66	576.167323266
pneumoniae_Core	56	1192.25	499.211906408
pneumoniae_Pan	56	21246.32	573.03333027
pneumoniae_Core	57	1162.39	506.834270645
pneumoniae_Pan	57	21395.72	559.365123689
pneumoniae_Core	58	1136.83	516.074026764
pneumoniae_Pan	58	21536.1	568.188551451
pneumoniae_Core	59	1126.19	509.17308835
pneumoniae_Pan	59	21669.38	576.632860319
pneumoniae_Core	60	1119.65	506.143386305
pneumoniae_Pan	60	21790.63	568.949464452
pneumoniae_Core	61	1100.23	506.109985181
pneumoniae_Pan	61	21918.78	556.51890498
pneumoniae_Core	62	1091.65	502.272562958
pneumoniae_Pan	62	22055.85	550.224978986
pneumoniae_Core	63	1085.24	499.63456886
pneumoniae_Pan	63	22183.38	562.046684538
pneumoniae_Core	64	1079.23	496.785624893
pneumoniae_Pan	64	22304.86	558.953236327
pneumoniae_Core	65	1064.18	498.686281744
pneumoniae_Pan	65	22436.3	562.241416119
pneumoniae_Core	66	1058.33	496.262411532
pneumoniae_Pan	66	22566.89	569.831780353
pneumoniae_Core	67	1024.99	490.985182974
pneumoniae_Pan	67	22694.29	572.976549171
pneumoniae_Core	68	1017.85	487.556240346
pneumoniae_Pan	68	22824.27	567.319695674
pneumoniae_Core	69	1012.07	484.03116129
pneumoniae_Pan	69	22940.64	556.145080352
pneumoniae_Core	70	1008.87	482.36699006
pneumoniae_Pan	70	23055.59	553.247017073
pneumoniae_Core	71	997.45	485.785495358
pneumoniae_Pan	71	23168.99	549.973608367
pneumoniae_Core	72	994.34	484.798003709
pneumoniae_Pan	72	23274.13	558.914727933
pneumoniae_Core	73	986.08	481.704944546
pneumoniae_Pan	73	23395.29	554.262091343
pneumoniae_Core	74	970.68	481.588203344
pneumoniae_Pan	74	23515.35	549.495975872
pneumoniae_Core	75	955.39	481.434728598
pneumoniae_Pan	75	23633.3	547.126466185
pneumoniae_Core	76	928.65	482.209381389
pneumoniae_Pan	76	23756.26	540.859290759
pneumoniae_Core	77	909.27	476.264125355
pneumoniae_Pan	77	23886.63	529.206191479
pneumoniae_Core	78	905.77	474.822490095
pneumoniae_Pan	78	23996.25	532.550755797
pneumoniae_Core	79	898.17	469.036545591
pneumoniae_Pan	79	24116.84	533.599357571
pneumoniae_Core	80	893.09	467.709976267
pneumoniae_Pan	80	24232.32	536.021265996
pneumoniae_Core	81	880.72	468.639116592
pneumoniae_Pan	81	24337.17	540.841493508
pneumoniae_Core	82	870.42	471.299971992
pneumoniae_Pan	82	24447.67	545.741661503
pneumoniae_Core	83	856.88	471.760559606
pneumoniae_Pan	83	24574.08	546.569440785
pneumoniae_Core	84	851.78	468.0190932
pneumoniae_Pan	84	24679.1	550.754763938
pneumoniae_Core	85	847.73	466.705107214
pneumoniae_Pan	85	24781.85	555.82163281
pneumoniae_Core	86	832.3	463.061496996
pneumoniae_Pan	86	24886.01	544.169412867
pneumoniae_Core	87	817.16	459.645553008
pneumoniae_Pan	87	24993.1	523.179500745
pneumoniae_Core	88	803.56	457.032675418
pneumoniae_Pan	88	25099.27	525.750318212
pneumoniae_Core	89	800.31	455.017927009
pneumoniae_Pan	89	25198.68	521.436302534
pneumoniae_Core	90	794.49	450.942113691
pneumoniae_Pan	90	25307.19	511.660193781
pneumoniae_Core	91	790.79	448.52741934
pneumoniae_Pan	91	25413.84	504.972746195
pneumoniae_Core	92	786.68	445.376579537
