replicate	number_of_strains	number_of_orthologous_cluster	sd
pseudopneumoniae_Core	1	5120.01	247.721799404
pseudopneumoniae_Pan	1	5120.01	247.721799404
pseudopneumoniae_Core	2	4210.96	202.950039172
pseudopneumoniae_Pan	2	6061.97	383.22855987
pseudopneumoniae_Core	3	3933.16	252.561783332
pseudopneumoniae_Pan	3	6797.95	466.208566524
pseudopneumoniae_Core	4	3761.3	287.694056247
pseudopneumoniae_Pan	4	7423.55	550.133027094
pseudopneumoniae_Core	5	3641.81	289.058530232
pseudopneumoniae_Pan	5	7948.94	582.002471129
pseudopneumoniae_Core	6	3539.56	285.070739291
pseudopneumoniae_Pan	6	8466.43	596.934724321
pseudopneumoniae_Core	7	3477.54	287.652582815
pseudopneumoniae_Pan	7	8940.72	618.836490198
pseudopneumoniae_Core	8	3408.81	284.719395019
pseudopneumoniae_Pan	8	9382.68	641.83748535
pseudopneumoniae_Core	9	3356.07	293.797626097
pseudopneumoniae_Pan	9	9776.82	650.580193058
pseudopneumoniae_Core	10	3307.8	299.262460058
pseudopneumoniae_Pan	10	10143.44	636.79296981
pseudopneumoniae_Core	11	3263.04	298.292203049
pseudopneumoniae_Pan	11	10510.94	647.19621167
pseudopneumoniae_Core	12	3203.45	296.173677932
pseudopneumoniae_Pan	12	10920.38	646.027426353
pseudopneumoniae_Core	13	3149.05	294.049158305
pseudopneumoniae_Pan	13	11288.06	652.102903229
pseudopneumoniae_Core	14	3093.1	299.431845334
pseudopneumoniae_Pan	14	11644.43	680.502053707
pseudopneumoniae_Core	15	3055.94	306.423263477
pseudopneumoniae_Pan	15	11999.88	677.212762431
pseudopneumoniae_Core	16	3014.86	299.308470311
pseudopneumoniae_Pan	16	12329.98	647.217861002
pseudopneumoniae_Core	17	2990.03	293.825099506
pseudopneumoniae_Pan	17	12634.88	637.906862794
pseudopneumoniae_Core	18	2962.85	286.121141302
pseudopneumoniae_Pan	18	12957.94	646.218412303
pseudopneumoniae_Core	19	2930.64	280.888644128
pseudopneumoniae_Pan	19	13259.56	620.502591775
pseudopneumoniae_Core	20	2896.99	289.662648438
pseudopneumoniae_Pan	20	13539.95	666.382583431
pseudopneumoniae_Core	21	2880.34	282.468731721
pseudopneumoniae_Pan	21	13795.38	676.84916754
pseudopneumoniae_Core	22	2838.63	282.592733629
pseudopneumoniae_Pan	22	14069.45	675.096768989
pseudopneumoniae_Core	23	2816.07	281.13848029
pseudopneumoniae_Pan	23	14323.56	671.888611602
pseudopneumoniae_Core	24	2792.46	283.480349231
pseudopneumoniae_Pan	24	14581.37	670.781345224
pseudopneumoniae_Core	25	2753.59	276.475210281
pseudopneumoniae_Pan	25	14856.62	665.08979514
pseudopneumoniae_Core	26	2716.12	267.039820252
pseudopneumoniae_Pan	26	15123.57	653.175554579
pseudopneumoniae_Core	27	2689.7	265.476044117
pseudopneumoniae_Pan	27	15374.01	643.61991105
pseudopneumoniae_Core	28	2669.16	255.512141394
pseudopneumoniae_Pan	28	15604.85	599.636729612
pseudopneumoniae_Core	29	2630.96	250.538816154
pseudopneumoniae_Pan	29	15865.77	573.937624747
pseudopneumoniae_Core	30	2605.81	252.492997725
pseudopneumoniae_Pan	30	16086.94	581.335941087
pseudopneumoniae_Core	31	2586.69	243.485058885
pseudopneumoniae_Pan	31	16316.75	570.337117414
pseudopneumoniae_Core	32	2559.96	229.039512748
pseudopneumoniae_Pan	32	16563.55	569.676441061
pseudopneumoniae_Core	33	2534.13	220.880585611
pseudopneumoniae_Pan	33	16786.77	556.071359719
pseudopneumoniae_Core	34	2518.46	222.002406293
pseudopneumoniae_Pan	34	16982.17	556.490054808
pseudopneumoniae_Core	35	2501.63	223.830143412
pseudopneumoniae_Pan	35	17171.2	571.706795482
pseudopneumoniae_Core	36	2488.65	218.566620279
pseudopneumoniae_Pan	36	17368.28	561.59863034
pseudopneumoniae_Core	37	2463.19	207.519189233
pseudopneumoniae_Pan	37	17586.79	562.986363867
pseudopneumoniae_Core	38	2443.58	202.542300767
pseudopneumoniae_Pan	38	17783.58	576.101886475
pseudopneumoniae_Core	39	2426.34	202.086378561
pseudopneumoniae_Pan	39	17972.46	573.281125104
pseudopneumoniae_Core	40	2407.71	192.778644824
pseudopneumoniae_Pan	40	18165.25	569.264040231
pseudopneumoniae_Core	41	2381.97	189.236912625
pseudopneumoniae_Pan	41	18357.34	552.867293661
pseudopneumoniae_Core	42	2358.58	185.223712305
pseudopneumoniae_Pan	42	18545.98	562.361289208
pseudopneumoniae_Core	43	2343.88	174.810885245
pseudopneumoniae_Pan	43	18710.59	534.306262269
pseudopneumoniae_Core	44	2332.8	168.27447816
pseudopneumoniae_Pan	44	18890.32	519.416189197
pseudopneumoniae_Core	45	2322.97	162.03490087
pseudopneumoniae_Pan	45	19062.39	493.325306365
pseudopneumoniae_Core	46	2313.44	159.311601586
pseudopneumoniae_Pan	46	19228.25	489.043114153
pseudopneumoniae_Core	47	2302.94	155.339358824
pseudopneumoniae_Pan	47	19381.73	473.253776636
pseudopneumoniae_Core	48	2293.66	155.095339711
pseudopneumoniae_Pan	48	19531.79	475.42825526
pseudopneumoniae_Core	49	2278.26	149.753104809
pseudopneumoniae_Pan	49	19695.96	473.511666593
pseudopneumoniae_Core	50	2266.07	148.760025208
pseudopneumoniae_Pan	50	19853.22	449.729776199
pseudopneumoniae_Core	51	2255.2	144.20790547
pseudopneumoniae_Pan	51	20004.85	435.095515376
pseudopneumoniae_Core	52	2242.53	134.613257519
pseudopneumoniae_Pan	52	20167.7	423.968878575
pseudopneumoniae_Core	53	2233.85	132.398215622
pseudopneumoniae_Pan	53	20314.86	426.669357231
pseudopneumoniae_Core	54	2225.66	133.649632996
pseudopneumoniae_Pan	54	20461.61	413.89930889
pseudopneumoniae_Core	55	2208.53	124.858676511
pseudopneumoniae_Pan	55	20615.62	402.105776631
pseudopneumoniae_Core	56	2199.47	124.656123396
