replicate	number_of_strains	number_of_orthologous_cluster	sd
varicula_Core	1	5292.44	246.27741756
varicula_Pan	1	5292.44	246.27741756
varicula_Core	2	4374.42	290.354858062
varicula_Pan	2	6198.86	404.603905567
varicula_Core	3	4146.98	309.486541872
varicula_Pan	3	6878.71	445.37510696
varicula_Core	4	4002.07	315.018864673
varicula_Pan	4	7464.54	451.057544444
varicula_Core	5	3899.12	323.556309782
varicula_Pan	5	7936.06	466.370278212
varicula_Core	6	3812.59	325.99991089
varicula_Pan	6	8409.8	484.43901577
varicula_Core	7	3743.37	315.837004007
varicula_Pan	7	8856.74	476.998776099
varicula_Core	8	3681.59	316.858488761
varicula_Pan	8	9282.23	484.801007734
varicula_Core	9	3623.58	302.124053329
varicula_Pan	9	9684.45	488.815739824
varicula_Core	10	3570.61	303.970356943
varicula_Pan	10	10092.81	500.528534551
varicula_Core	11	3504.75	315.107961658
varicula_Pan	11	10452.43	507.35420083
varicula_Core	12	3459.89	304.622681198
varicula_Pan	12	10815.54	493.141793402
varicula_Core	13	3409.3	313.50555019
varicula_Pan	13	11116.59	526.549790523
varicula_Core	14	3380.03	319.232030191
varicula_Pan	14	11441.63	540.283271164
varicula_Core	15	3348.27	317.639067339
varicula_Pan	15	11742.05	544.298491179
varicula_Core	16	3310.24	314.714763556
varicula_Pan	16	12047.77	528.00187225
varicula_Core	17	3263.29	306.130439356
varicula_Pan	17	12358.59	507.025149179
varicula_Core	18	3233.96	311.34899775
varicula_Pan	18	12619.31	529.728452983
varicula_Core	19	3204.1	311.805660629
varicula_Pan	19	12904.67	553.387640899
varicula_Core	20	3179.1	311.61545212
varicula_Pan	20	13142.72	558.974061652
varicula_Core	21	3145.1	312.70965767
varicula_Pan	21	13401.7	572.909582744
varicula_Core	22	3102.11	303.266512988
varicula_Pan	22	13675.14	558.385422804
varicula_Core	23	3077.15	295.426247141
varicula_Pan	23	13916.65	554.415608997
varicula_Core	24	3052.64	284.837691326
varicula_Pan	24	14164.43	555.209658688
varicula_Core	25	3029.17	277.930748749
varicula_Pan	25	14403.54	567.630732431
varicula_Core	26	3008.68	270.784374734
varicula_Pan	26	14647.46	574.435521534
varicula_Core	27	2981.5	270.364513204
varicula_Pan	27	14890.19	575.505737504
