"accession","genus","species_used"
"101332-17","Klebsiella","variicola"
"105710-17","Klebsiella","variicola"
"109680-17","Klebsiella","michiganensis"
"118559-17","Klebsiella","pneumoniae"
"124203-17","Klebsiella","pneumoniae"
"125929-17","Klebsiella","pneumoniae"
"126192-17","Klebsiella","michiganensis"
"126458-17","Klebsiella","pneumoniae"
"128879-17","Klebsiella","pneumoniae"
"129282-17","Klebsiella","pneumoniae"
"129496-17","Klebsiella","pneumoniae"
"131515-17","Klebsiella","quasipneumoniae-subsp-quasipneumoniae"
"132027-17","Klebsiella","pneumoniae"
"133832-17","Klebsiella","variicola"
"134152-17","Klebsiella","pneumoniae"
"141125-16","Klebsiella","michiganensis"
"170070391-17","Klebsiella","michiganensis"
"170096690-17","Klebsiella","grimontii"
"304450-3-16","Klebsiella","pneumoniae"
"304471-16","Klebsiella","variicola"
"40-2021-2","Klebsiella","grimontii"
"400125-17","Klebsiella","oxytoca"
"400161-2-16","Klebsiella","pneumoniae"
"400266-13","Klebsiella","pneumoniae"
"400925-13","Klebsiella","pneumoniae"
"401065-17","Klebsiella","michiganensis"
"401084-17","Klebsiella","pneumoniae"
"401125-16","Klebsiella","pneumoniae"
"401153-17","Klebsiella","michiganensis"
"401717-13","Klebsiella","pneumoniae"
"401801-14","Klebsiella","pneumoniae"
"402496-14","Klebsiella","grimontii"
"402620-12","Klebsiella","grimontii"
"403161-15","Klebsiella","pneumoniae"
"403420-11","Klebsiella","pneumoniae"
"403773-16","Klebsiella","variicola"
"403774-16","Klebsiella","quasipneumoniae-subsp-quasipneumoniae"
"403850-15","Klebsiella","pneumoniae"
"404197-15","Klebsiella","pneumoniae"
"404431-16","Klebsiella","quasipneumoniae-subsp-quasipneumoniae"
"404556-16","Klebsiella","pneumoniae"
"404813-6-17","Klebsiella","variicola"
"500013-17","Klebsiella","grimontii"
"500137-17","Klebsiella","michiganensis"
"502310-17","Klebsiella","grimontii"
"502565-17","Klebsiella","michiganensis"
"502642-17","Klebsiella","variicola"
"502761-17","Klebsiella","michiganensis"
"502988-17","Klebsiella","grimontii"
"600085-17","Klebsiella","variicola"
"602734-17","Klebsiella","michiganensis"
"605112-17","Klebsiella","grimontii"
"606641-17","Klebsiella","grimontii"
"607815-17","Klebsiella","michiganensis"
"608276-17","Klebsiella","pneumoniae"
"608420-17","Klebsiella","pneumoniae"
"608668-17","Klebsiella","oxytoca"
"608715-17","Klebsiella","oxytoca"
"608740-17","Klebsiella","pneumoniae"
"608815-17","Klebsiella","oxytoca"
"608870-17","Klebsiella","variicola"
"608935-17","Klebsiella","pneumoniae"
"612634-16","Klebsiella","pneumoniae"
"620203084113","Klebsiella","michiganensis"
"620206143210","Klebsiella","grimontii"
"620256532320","Klebsiella","grimontii"
"620257851413","Klebsiella","grimontii"
"620258715808","Klebsiella","grimontii"
"620259814713-17","Klebsiella","grimontii"
"620260277613","Klebsiella","michiganensis"
"620260661315","Klebsiella","grimontii"
"620262140113","Klebsiella","grimontii"
"620262455609","Klebsiella","michiganensis"
"620262927814","Klebsiella","michiganensis"
"620262936017","Klebsiella","grimontii"
"620264432508","Klebsiella","michiganensis"
"620267298408","Klebsiella","michiganensis"
"620267602911","Klebsiella","michiganensis"
"620271411010-17","Klebsiella","grimontii"
"620273821510-17","Klebsiella","grimontii"
"620278998915","Klebsiella","michiganensis"
"620285505921","Klebsiella","michiganensis"
"620286429714","Klebsiella","michiganensis"
"620286643710","Klebsiella","michiganensis"
"700456-16","Klebsiella","oxytoca"
"700466-17","Klebsiella","grimontii"
"700505-17","Klebsiella","pneumoniae"
"700521-17","Klebsiella","pneumoniae"
"700538-17","Klebsiella","variicola"
"700607-17","Klebsiella","pneumoniae"
"700678-17","Klebsiella","pneumoniae"
"701411-17","Klebsiella","variicola"
"704117-17","Klebsiella","variicola"
"704195-17","Klebsiella","variicola"
"704984-11","Klebsiella","pneumoniae"
"705023-2-17","Klebsiella","pneumoniae"
"705420-17","Klebsiella","grimontii"
"705729-17","Klebsiella","oxytoca"
"705849-17","Klebsiella","michiganensis"
"706127-17","Klebsiella","oxytoca"
"706508-16","Klebsiella","michiganensis"
"707154-17","Klebsiella","michiganensis"
"708712-17","Klebsiella","oxytoca"
"708776-17","Klebsiella","oxytoca"
"708990-17","Klebsiella","michiganensis"
"709081-17","Klebsiella","oxytoca"
"709253-17","Klebsiella","oxytoca"
"709833-17","Klebsiella","oxytoca"
"709965-17","Klebsiella","oxytoca"
"710322-17","Klebsiella","grimontii"
"710455-17","Klebsiella","grimontii"
"711072-17","Klebsiella","oxytoca"
"711080-17","Klebsiella","oxytoca"
"711206-17","Klebsiella","oxytoca"
"711469-2009","Klebsiella","oxytoca"
"712486-17","Klebsiella","grimontii"
"712881-17","Klebsiella","oxytoca"
"713490-17","Klebsiella","oxytoca"
"717892-17","Klebsiella","variicola"
"720807-16","Klebsiella","michiganensis"
"800126-16","Klebsiella","michiganensis"
"801080-17","Klebsiella","pneumoniae"
"801722-1-17","Klebsiella","pneumoniae"
"801869-6-17","Klebsiella","pneumoniae"
"806877-17","Klebsiella","variicola"
"807594-16","Klebsiella","variicola"
"DSM103279","Klebsiella","michiganensis"
"DSM-5175","Klebsiella","oxytoca"
"GCF_000016305","Klebsiella","pneumoniae"
"GCF_000019565","Klebsiella","variicola"
"GCF_000025465","Klebsiella","variicola"
"GCF_000163075","Klebsiella","variicola"
"GCF_000163455","Klebsiella","pneumoniae"
"GCF_000195655","Klebsiella","pneumoniae"
"GCF_000219945","Klebsiella","pneumoniae"
"GCF_000219965","Klebsiella","pneumoniae"
"GCF_000220485","Klebsiella","pneumoniae"
"GCF_000238715","Klebsiella","pneumoniae"
"GCF_000240185","Klebsiella","pneumoniae"
"GCF_000247875","Klebsiella","oxytoca"
"GCF_000247915","Klebsiella","grimontii"
"GCF_000255975","Klebsiella","pneumoniae"
"GCF_000263095","Klebsiella","pneumoniae"
"GCF_000269585","Klebsiella","oxytoca"
"GCF_000281755","Klebsiella","pneumoniae"
"GCF_000300935","Klebsiella","pneumoniae"
"GCF_000349245","Klebsiella","quasipneumoniae-subsp-similipneumoniae"
"GCF_000398905","Klebsiella","variicola"
"GCF_000427015","Klebsiella","grimontii"
"GCF_000492415","Klebsiella","quasipneumoniae-subsp-quasipneumoniae"
"GCF_000492475","Klebsiella","variicola"
"GCF_000492795","Klebsiella","quasipneumoniae-subsp-similipneumoniae"
"GCF_000492815","Klebsiella","oxytoca"
"GCF_000492835","Klebsiella","variicola"
"GCF_000492955","Klebsiella","oxytoca"
"GCF_000493095","Klebsiella","variicola"
"GCF_000507385","Klebsiella","oxytoca"
"GCF_000523395","Klebsiella","quasivariicola"
"GCF_000527215","Klebsiella","oxytoca"
"GCF_000567005","Klebsiella","variicola"
"GCF_000612905","Klebsiella","quasipneumoniae-subsp-quasipneumoniae"
